開設母体,,,,,要件,,,,,,,,,,,,
FH32031,マーケティング,1,2,46057,夏季休業中,集中,"高橋 一樹,勝又 壮太郎",マーケティングは、経営学の中核領域の1つであり、理論と実践が結び付いて発展してきた。そこで本授業では、伝統的な理論を前半、現代的な実践を後半とし、前半を勝又(大阪大学教授、社会工学類卒)、後半を高橋(電通、社会工学類卒、博士(社会工学))が担当する。,"マネジメントエリア
9/6,9/7,9/27,9/28
詳細後日周知
対面
2018年度までの「マーケティング工学」に相当。",,,×,,Marketing,FH32031,マーケティング工学,2025/12/11 16:56
FH32041,ファイナンス,1,2,46057,春AB,"木1,2",高野 祐一,ファイナンスに関する重要な内容(財務諸表分析、投資の意思決定法、債券と株式の評価、平均‐分散ポートフォリオ理論、資本資産評価モデル、資本コストの推定、オプション理論など)を幅広く取り上げて講義する。,"マネジメントエリア
対面",,,×,,Finance,FH32041,ファイナンス,2025/2/25 16:31
FH32081,経営学,1,2,46057,秋AB,"火3,4",岡田 幸彦,経営(management)の本質は、人を動かすことである。そして経営は、特に商売(business)において欠かせない行為だと考えられてた。さらに、商売を行う営利企業だけでなく、非営利組織、さらには都市・地域や国家等にとっても、経営が重要だと考えられるようになってきた。本授業では、経営に関する王道の理論を習得するとともに、最先端の理論と実務を理解する。これらを通じて、経営の不易流行を理解することを目指す。,"マネジメントエリア
対面",,,×,,Management,FH32081,経営学,2024/1/18 16:04
FH32091,生産・品質管理,1,2,46057,春C,"火3,4
金3,4","有馬 澄佳,石井 善弘",生産・品質管理の概論、需要予測と生産計画、統計的品質管理手法、在庫理論、信頼性工学について解説する。,"マネジメントエリア
対面(オンライン併用型)
講義はオンライン(オンデマンド型)、対面を併用。最終発表は対面形式。",,,×,,Production and Quality Management,FH34061,生産・品質管理,2025/12/18 15:53
社会工学類(経営工学:情報技術エリア)2019年度以降入学者対象,,,,,,,,,,,,,,,,,
科目番号,科目名,授業方法,単位数,標準履修年次,実施学期,曜時限,担当教員,授業概要,備考,科目等履修生申請可否,申請条件,短期留学生申請可否,申請条件,英語(日本語)科目名,科目コード,要件科目名,データ更新日
FH33012,情報技術演習,2,2,46057,秋AB,"月5,6","張 勇兵,鮏川 矩義","前半の5週はオブジェクト指向プログラミングの入門実習を行う。
後半の5週は経営最適化のためのデータベース技術(RDBとSQL)を演習形式で身につける。","エリア演習。情報技術エリア。
オンライン(オンデマンド型)
オンライン(オンデマンド型)+(同時双方向型)。
社会工学類2-4年。2019年度までの「情報技術実験」に相当。",×,"各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため",×,,Seminar on Information Technology,FH33012,情報技術演習,2025/12/11 19:18
FH33021,計算機科学,1,2,46057,秋AB,"火5,6",繁野 麻衣子,"データ構造とアルゴリズム,計算の複雑性の基礎について学び,コンピュータ・ネットワーク上での応用例を幾つか紹介する.","情報技術エリア
対面",,,×,,Computer Science,FH33021,計算機科学,2023/2/6 18:05
FH33051,シミュレーション,1,2,46057,秋AB,"水3,4",藤原 良叔,できるだけ少ない実験で偏りのないデータを得るための技術(実験計画法)、および、コンピュータ上で実験するための計算技法(計算機シミュレーション)を学ぶ。,"情報技術エリア
対面",,,×,,Simulation,FH33051,シミュレーション,2025/12/11 19:15
FH33061,情報ネットワーク,1,2,46057,春AB,"月5,6","張 勇兵,繆 瑩","ネットワークの基本構成や形態などについて解説し,電子メール,WWWなど実際の応用例を用ながらプロトコルやデータ伝送方式などについて解説する。また,ネットワークセキュリティの脅威と対策,暗号システムと認証方式,鍵管理方式についても解説する。","情報技術エリア
対面",,,×,,Information Networks,FH33061,情報ネットワーク,2025/12/11 19:20
FH33071,データ解析,1,2,46057,秋AB,"火1,2","黒瀬 雄大,志田 洋平,末重 拓己",統計学の基本的な原理を学習し、データ解析手法の実践をする。また具体的なプログラミングコーディングを通じて、データ解析の練習を行う。,"情報技術エリア
対面(オンライン併用型)",,,×,,Data Analysis,FH31051,データ解析,2025/12/18 15:35
FH33081,経営と機械学習,1,2,46057,秋AB,"木5,6",高野 祐一,経営上のデータ分析で有用な機械学習手法(線形回帰、ロジスティック回帰、主成分分析、クラスター分析、正則化、決定木、サポートベクトルマシン、深層学習、推薦システム、強化学習など)を幅広く取り上げて講義する。,"情報技術エリア
対面",,,×,,Machine Learning for Management ,FH33081,経営と機械学習,2025/2/25 17:05
社会工学類(経営工学:数理工学モデル化エリア)2019年度以降入学者対象,,,,,,,,,,,,,,,,,
科目番号,科目名,授業方法,単位数,標準履修年次,実施学期,曜時限,担当教員,授業概要,備考,科目等履修生申請可否,申請条件,短期留学生申請可否,申請条件,英語(日本語)科目名,科目コード,要件科目名,データ更新日
FH34012,数理工学モデル化演習,2,2,46057,春AB,"火5,6","繁野 麻衣子,フン ドック トゥアン,大西 正輝,岩永 二郎","数理工学モデル化エリアの各授業において学んだ,様々な工学的なツール(モデル)に関する基礎知識を,問題演習や実習を通して,さらに「使える」知識として定着させることを目標とする。","エリア演習。数理工学モデル化エリア。社会工学類2-4年(3年次履修推奨)
対面
2018年度までの「数理工学モデル化実習」に相当。
履修希望者が多い場合は社会工学類3・4年次生を優先する。",×,"各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため",×,,Seminar on Mathematical Engineering,FH34012,数理工学モデル化演習,2025/12/18 18:03
FH34031,数理最適化法,1,2,46057,春C,"月・木3,4","吉瀬 章子,繁野 麻衣子,リュウ ティエンシャン","数理計画におけるいくつかのテーマ(線形計画法,非線形計画法,グラフ理論,組み合せ最適化法 等)を取り上げ,代表的な算法や基礎的な理論について概説を与える。",対面(オンライン併用型),,,×,,Mathematical Optimization,FH34031,数理計画,2025/7/23 10:35
FH34091,応用確率論,1,2,46057,春AB,"木5,6",フン ドック トゥアン,"確率論の基礎及びマルコフ連鎖の概略を説明する.確率空間,確率変数,確率分布,条件付き確率,期待値,条件付き期待値,同時確率分布,確率変数の収束,大数の法則,中心極限定理,マルコフ連鎖等を説明する予定である.","数理工学モデル化エリア
対面(オンライン併用型)
対面(オンライン併用型)。",,,×,,Applied Probability,FH31061,応用確率論,2025/12/9 14:12
